hmdbId,kingdom,superClass,class,subClass
HMDB00706,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB01924,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenylacetamides
HMDB00784,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB01870,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
HMDB00056,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB01352,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives
HMDB00043,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB06335,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Quinone and hydroquinone lipids
HMDB00054,Organic compounds,Organoheterocyclic compounds,Tetrapyrroles and derivatives,Bilirubins
HMDB00511,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB00535,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB00482,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB00957,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenols and derivatives
HMDB05014,Organic compounds,Organoheterocyclic compounds,Azoles,Pyrazoles
HMDB00619,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Bile acids, alcohols and derivatives
HMDB00067,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Cholestane steroids
HMDB00097,Organic compounds,Organonitrogen compounds,Quaternary ammonium salts,Cholines
HMDB01565,Organic compounds,Organonitrogen compounds,Quaternary ammonium salts,Cholines
HMDB11621,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00072,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Tricarboxylic acids and derivatives
HMDB03231,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB05038,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenylbutylamines
HMDB00426,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB00094,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Tricarboxylic acids and derivatives
HMDB00904,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB04995,Organic compounds,Alkaloids and derivatives,Morphinans,NA
HMDB00063,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids
HMDB02802,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids
HMDB00064,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00562,Organic compounds,Organoheterocyclic compounds,Azolines,Imidazolines
HMDB00574,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00656,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00078,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00192,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00089,Organic compounds,Nucleosides, nucleotides, and analogues,Pyrimidine nucleosides,NA
HMDB01413,Organic compounds,Nucleosides, nucleotides, and analogues,Pyrimidine nucleotides,Pyrimidine ribonucleotides
HMDB00095,Organic compounds,Nucleosides, nucleotides, and analogues,Pyrimidine nucleotides,Pyrimidine ribonucleotides
HMDB11691,Organic compounds,Nucleosides, nucleotides, and analogues,Pyrimidine nucleotides,Cyclic pyrimidine nucleotides
HMDB01161,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB05060,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB02925,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB00908,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Cholestane steroids
HMDB01539,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB03334,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00092,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB02183,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB01976,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB06528,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB02823,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB00623,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB01999,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB02231,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB00068,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenols and derivatives
HMDB03045,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB02068,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB02994,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Sugar alcohols
HMDB00613,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Sugar acids and derivatives
HMDB00149,Organic compounds,Organonitrogen compounds,Amines,Alkanolamines
HMDB01248,Organic compounds,Nucleosides, nucleotides, and analogues,Flavin nucleotides,NA
HMDB00660,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds
HMDB01076,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds
HMDB00124,Organic compounds,Organophosphorus compounds,Organic phosphoric acids and derivatives,Phosphate esters
HMDB03971,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds
HMDB00174,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides
HMDB03081,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides
HMDB00134,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives
HMDB05015,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00143,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides
HMDB00112,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB01049,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
