"SampleName","N1",N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14
"SampleType","Normal",Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis
"Isobar 31 includes 1-kestose,maltotriose, melezitose","0.544734530280569",0.928361609839126,0.326058309998353,1.67089441607643,0.396324054246966,0.870792840278922,1.56467907538571,1.17466919233515,0.319922582770549,1.16694119584912,0.472368637786197,1.14497886125295,0.759402624498984,1.2819414703783,1.15362653050019,1.23005545489486,0.797603360237193,0.899590951518146,2.73898278015703,1.72794158018997,1,1.04417174545654,0.534590676988964,0.725525723384396,1.11150002745292,0.488867841651568,0.221339153352001,0.221339153352001,1.93462087519903,0.221339153352001,0.428087080656674,0.221339153352001,0.221339153352001,0.221339153352001,0.221339153352001,0.489101191456652,0.221339153352001,1.30523527150936,0.648904628562016,1.95559490473837,1.36688079942898,3.0211538626256
"Isobar 32 includes N-acetyl-D-glucosamine, N-acetyl-D-mannosamin","0.843445510018411",0.73747982448927,1.50693451093961,1.14103332484223,1.49799619348084,0.348662557879556,1.38775392809616,1.14711955111602,0.730594243192399,0.555261629067519,0.633028653231792,0.655878897170775,0.704244442800922,1.62667267215902,0.585260143893725,0.754155335237278,0.871213125850173,0.993983706875905,0.905563546325403,1.0060162931241,2.46933762013249,1.02246560170785,1.88493678320594,1.04661373676405,0.958674618183566,0.761663487770183,1.22861835197233,1.22112112003076,1.27618459893016,1.44204686857409,0.760583348989943,1.1527251710545,1.00949697331079,0.52939606777759,0.769769501421664,1.40049284602979,2.13625113780116,0.406355000631486,1.0950759595522,0.80866299594788,0.704267202315185,2.16531333615557
"Isobar 35 includes D-arabinose 5-phosphate, D-ribulose 5-phosphate","0.588963196913687",0.588963196913687,0.588963196913687,0.588963196913687,0.588963196913687,0.588963196913687,0.588963196913687,0.588963196913687,0.588963196913687,0.588963196913687,0.588963196913687,0.588963196913687,0.588963196913687,0.588963196913687,0.588963196913687,0.588963196913687,0.588963196913687,0.588963196913687,0.588963196913687,0.588963196913687,0.588963196913687,0.588963196913687,0.588963196913687,0.588963196913687,0.588963196913687,0.588963196913687,0.588963196913687,0.588963196913687,0.588963196913687,0.588963196913687,0.588963196913687,0.588963196913687,0.925022806667238,0.588963196913687,1.53242733680297,0.588963196913687,0.588963196913687,0.588963196913687,1.31067044150523,0.588963196913687,0.588963196913687,1
"Isobar 4 includes Gluconic acid, DL-arabinose, D-ribose, L-xylose","1.64259346579412",0.515163080538521,0.750394621279092,0.565583652580181,0.883447044146439,3.52514443647949,2.26102242921947,1.58152511515579,0.766602623083208,1.38947344043949,0.998302483131605,0.362385265202375,1.60952491373849,2.33716008245882,1.0922817645491,0.662117809180216,1.1019812295174,0.825292493050224,0.875633171319791,1.25976646537069,0.738506006010381,4.58067760211262,0.749916909899636,1.4728082462675,0.882603349375562,0.985544057266761,1.14868196581145,0.800819095132632,0.642783526729295,1.02681505366587,1.0016975168684,1.38672076520009,1.38260869847622,1.54278034537427,0.626787155980208,0.822359304435097,0.87889742641224,0.586705054799345,0.929998680201141,1.15505445837922,1.16343297334584,1.10053083900761
"Isobar 40 includes Maltotetraose, stachyose","1.00875546031909",0.729235182410519,0.0789207663523925,1.76517497001485,0.115425579143568,0.805487087001626,1.80985758920824,1.66272850799352,0.266375269546568,1.3751478692535,0.434665884623681,0.991244539680913,1.5770942701232,1.48943574591091,1.93347141847308,2.38821574813592,0.73452097796884,0.882809388000445,1.9631174002207,2.07303161150748,0.199207538183111,0.7747750472014,0.0789207663523925,0.948471675662245,1.03241252686939,0.301109418416466,0.0789207663523925,0.0789207663523925,0.0789207663523925,0.0789207663523925,0.0789207663523925,0.0789207663523925,0.0789207663523925,0.0789207663523925,0.0789207663523925,0.31537695276255,0.0789207663523925,2.08424911438348,0.0789207663523925,0.943319547885709,1.3506522229401,1.40032055476022
"Isobar 6 includes valine, betaine","1.12555960070974",0.345405739260639,0.607243976724331,0.726901949886621,0.97936240422418,0.462501801408142,1.09610783656056,0.728161039407233,0.554624911913845,0.521294574770956,1.18830065135634,0.646155130368923,0.971457368931962,1.11763589187479,0.711228584814386,0.761603484965244,1.33346688840831,1.14585957453213,0.383289269419082,1.08460196672279,0.843663051253089,1.01839327160562,0.955853570349304,0.950438688957153,0.981606728394377,1.05711119212326,0.978200084592053,1.47692707743725,0.973464748002122,0.892552539167408,1.30564939846281,1.55796935445957,0.728954970166562,2.071985043781,1.57448825972996,1.67538934119425,1.64451809746125,1.36646405960854,1.29039835523723,1.83457413474867,1.56869820131387,1.07807710186559
"Isobar glycochenodeoxycholic acid/glycodeoxycholic acid","0.509502452599182",0.509502452599182,0.509502452599182,0.509502452599182,0.509502452599182,0.509502452599182,0.509502452599182,0.509502452599182,0.509502452599182,0.509502452599182,0.509502452599182,0.509502452599182,0.509502452599182,0.509502452599182,0.509502452599182,0.509502452599182,0.509502452599182,0.509502452599182,0.509502452599182,0.509502452599182,0.509502452599182,0.509502452599182,0.509502452599182,0.509502452599182,0.509502452599182,0.509502452599182,0.509502452599182,0.509502452599182,0.509502452599182,0.509502452599182,5.69429207318115,0.509502452599182,0.509502452599182,0.509502452599182,0.509502452599182,0.599807989945092,0.509502452599182,1.15788826696059,0.84211173303941,5.64554789918293,0.509502452599182,0.509502452599182
"Isoleucine","1.20404667513833",0.392324900547127,0.515607530792227,0.522895208744864,0.958921994192638,0.531666180382806,1.1784126034089,0.677428423905102,0.695133574922183,0.774541333912595,1.25581768683998,0.617221967685095,0.891790735911239,1.05071917483224,0.856470620523753,0.674075334462222,1.2058693809749,1.03218579927117,0.492684099844508,1.16368665038933,0.725775999304677,1.09807796869064,0.870787896412443,0.948505945830815,0.655588142493073,1.04622680650325,0.967814200728834,1.37860000484929,0.780538176886453,0.938451272517008,1.10916552830443,1.6832370966637,1.53652286471457,1.71087404571133,1.42611359832469,1.38894579232462,1.57690395541931,1.34160794288455,1.57101031795194,1.35452172560388,1.41513656178226,0.856795061424981
"Kynurenate","1.38843572223812",0.290783702846374,0.707801860117117,0.520325396077028,0.922744420516129,0.433195076192115,0.868418360885944,0.446042998989026,0.532115175052281,0.589842435479929,1.23941591006162,0.18947592635944,1.12201294148529,0.756281623319213,0.973738413700818,0.350503809433134,2.0958910030993,1.8286422019484,0.647008232990431,1.23213596869059,1.30982020331816,1.73921134553339,0.876524155777953,1.47701431865356,0.898258256677024,1.20554184024383,1.99246536820446,1.69820626834273,1.02626158629918,0.872595027237699,0.792810199566924,1.6619926963573,1.82681356088937,2.15079894156381,0.49555277852587,0.692450097855393,0.467730286461296,1.52693472596078,1.76448140531822,1.62371911757647,1.29010027373091,1.84827836189978
"Kynurenine","0.912347610614863",0.895157721710331,0.211331257951141,0.553112756797803,0.760475448793413,0.999158631143214,0.388129311372673,0.309130365265782,0.449577698830416,0.580556501267684,1.00084136885679,0.760951800961425,0.209606634703858,0.26336018996611,0.707697016068059,0.351652734488545,1.71246298904062,1.14312537767124,0.64273845935278,0.717628645239673,0.348148824213067,1.44733370506768,0.864833888323155,1.60437786020934,1.28104060129928,1.185134762252,0.73303352576342,1.03511902117214,1.53711302989407,1.17758804873558,1.70144770036999,1.9086340967563,1.8025190332441,4.48723327547128,3.11758867426273,1.25546291292028,2.2662821896058,1.75148649601714,3.74799655787838,9.21780546662892,25.7590758025172,0.739471280861044
