Biochemical,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
Aspartate,13831392.5,3852199.946,732365.9855,7181926.847,8691781.977,5808945.402,12940200.26,6801097.57,5471565.94,6533203.804,13471039.53,6602730.037,16460276.18,16315318.93,10912265.02,6602214.955,11658100.04,22386238.7,4872587.354,12580254.86,11064365.02,19275599.55,9786990.896,13841005.45,7657462.445,22010768.48,17437498.37,19429393.11,3405256.089,2609072.157,5771548.875,9042666.108,12392946.84,10896129.78,41571773.59,7647907.826,10632929.68,11116352.82,7944317.162,7090042.873,12258814,5959810.055,60754,78047,138513,188004.1063,157262,113485.8918,67538,111642,93585,103654
Assymetric Dimethylarginine (ADMA),,,,85071.3204,,68768.6416,686016.1909,,,,202480.6422,,,158827.0246,,,486323.9514,,,,,394641.9943,177302.8462,507198.2418,413754.5845,,197750.0138,487110.7051,321177.0473,231098.6926,283488.1562,654211.4707,415387.8058,783919.6616,251536.0532,264599.8112,388127.299,526534.3484,126527.5045,177198.554,178062.9182,98408.3077,477114,1370087,365727.5169,1217347.122,,560018.402,,470805.2179,,1087262
a-Tocopherol,347265,97238,62973,48664,357141,154377,333364,45612,215912,316967,473230,92941.096,382489.0666,155300,332802,111116,1018446.996,223943,171635,257604.1736,468953.1921,223144,191626,594241.558,122761,607881.4787,164426,129225,1535873,29395,274205,584095,429090,352299,118967,206320,91580,603297.3165,360838.0352,1864701.504,1606197.768,356957.387,20905,9475,65913.6704,27973,66422.3876,97344.8894,36903,60412.0129,37102,74510.4959
Azelate (Nonanedioate),,71601.5062,68537.7416,76848.2854,,49267.8785,,,,67147.6684,143069.6544,60439.7482,112507.3237,76268.789,63302.8733,60653.3234,76082,58330.1159,53911.6142,68730.9582,339409.1112,86740.4395,68875.5826,66136.8221,107986.484,48566.2016,66613.7895,79169.2547,60796.3152,145469.2194,132778.9078,51088,78791.9482,,105107.4789,147775.9757,52507.4753,85769.2855,154606.1696,199119.6403,173264.2453,191640.2611,135760.6734,112263.7005,111806.7119,95832.8103,109326.1233,253266.2298,295328.7558,219335.3206,243726.3374,243704.9954
b-Alanine,546057.5995,203842.5872,139106.1996,113373.339,349423.9678,214463.8163,312918.8821,91368.3601,138792.0601,415676.3252,290318.2824,238267.9735,251747.0603,206864.9526,373603.6483,550624.742,215878.0911,499859.2339,,184934.3258,258636.5452,155338.4332,109597.8473,105314.0346,106405.1192,491855.2954,313923.9591,219406.3347,196807.2164,267094.4457,346495.9447,1007555.961,257677.8811,174447.3974,403329.5329,775726.2957,292337.1176,545090.0327,271219.2703,578545.6826,479977.6709,330791.1175,,,,,,,,,,
b-aminoisobutyrate,721382,196197,178743,89651,616451,324684,1013554,77937,213873,895592,208283,356465,253955,382334,741231,77864,344518,281480,,178616,126610,342393,187634,183067,159143,341157,212700,774138,1037196,17108008.56,2668374.717,32853621.92,3466734.391,22127339.23,2031612.506,1785110,2009920,4069878.293,4794388.932,1784314.428,1659674,1921605.772,,,,,,,,,,
b-Hydroxybutyrate (BHBA),318610.0838,318351.0512,464210.5702,973286.2016,715860.2415,504469.9976,2426130.605,690100.7554,618375.975,6784436.109,579888.9681,566560.3802,593743.593,992877.5319,502540.3005,826600.6451,291205.5242,775615.7352,536414.6002,868958.0332,902480.6518,956414.1645,1184428.899,951177.0601,738436.3543,1608811.858,507644.8664,783636.2842,3357743.274,1260558.502,8658485.342,7159367.281,916553.0941,3070552.692,538167.4767,906707.1441,14273114.02,931343.5176,4562381.164,1357904.035,1483051.637,827973.5276,3239319.746,7938721.953,8868709.492,8945514.768,9577317.572,9228565.69,8896294.541,8462741.812,8387244.935,8643924.039
Bicine,,,,,,,,,,,,,,,,,41987.128,118100.411,,,121904.3166,,,414635.7715,76201.099,424677.0509,62010.6688,,134847.9802,2168659.19,541085.3428,3093301.656,906291.2256,5786105.472,533796.1599,41170.7363,933623.9412,2313760.668,1367369.93,537420.875,268865.7621,273329.0581,163617.6753,160174.8961,121548.8122,228055.2954,165401.4652,256722.5047,191381.1268,148884.093,155633.3576,119761.9198
Biliverdin,6955194.044,5047428.181,1593536.686,2784300.063,2436839.357,7222915.634,7050633.421,6817780.85,1799740.772,6841954.95,7058755.807,6599258.141,7456100.225,2742834.201,13420697.32,1976397.389,,8734094.826,6248755.155,6440638.855,5302670.058,1366042.635,79078.4162,4704664.823,4040475.975,6345060.817,6515165.432,8834625.806,1652580.492,2943835.977,1767144.445,3868758.15,8126755.737,3811381.214,2371523.823,113518,6798353.212,4445853.904,3664062.751,3790667.708,1843078.359,5160550.924,326000,331783.5675,283730.7897,693670.233,839360.5885,368588.3912,760544.7485,620865.7638,382228.9962,438132.8282
Biotin,452347,,393892,,797722,,187866,374793,,617417,141436,,288866.1624,201453,297697,,114002,,,498787.087,190405,,381773.5774,327740,,153793,384761,200568,,,,138680,244389,452742,,254358,,398628.1631,,,179627,,1049397.861,940435.4665,1059659.904,1011917,986035,918013.8963,968643.9318,918587.1234,851608.2433,952258.9931
Bradykinin,,,,44737.5355,,,,,,,,31649.6153,,,,,52707.728,28981.0306,56102.4213,,,30766.2326,52085.4264,,135509.0388,55015.1212,,,,,,,,,,,,,,,,,4342262.363,3569392.938,3198446.529,3621019.635,3613369.486,3638464.945,2608279.895,3340102.116,3666797.767,3352740.584
Bradykinin hydroxyproline,185360.8042,348416.7349,60148.4966,157993.6064,73883.4412,410778.6857,183210.6742,108889.6211,204639.2485,98055.5933,826587.5357,222570.6935,110343.733,92256.2153,173691.5424,88970.0316,459774.4576,179635.2865,219502.7016,157195.9766,237499.1449,357849.1768,206184.7822,173517.6675,378353.2783,272069.3143,460220.5781,427188.4828,279799.7806,84369.2141,52959.872,91433.9136,413290.9082,149719.1687,250714.096,134692.0505,79074.2624,60474.461,68730.3213,56270.6943,,,1315491.581,1194438,1030474.162,1113837,1020628.728,978849.8818,986969.0578,1004032.089,748772.3089,909743.8522
Cadaverine,165297,,,,72557.175,,162464.1566,,,191048,,,76169,78764,,,,,,,,,,,,,,,,556006.3615,,,,,,,,,,,,,,120243,,82910,171798,81850,162212,89781,,106525
Caffeine,276232.6919,,171137.2386,418031.845,,,,154542.6986,402588.1391,,228000.1679,173259.5794,190569.5195,,537480.3257,,215853.5057,,104880.4307,733970.401,,179088.1093,,,,299817.4157,125804.0854,609277.0542,,,,,,,,,,,,164686.235,,,3930258.797,3473599.028,3175318.27,3126771.103,3473572.881,2743100.976,2713904.892,2181107.529,1975545.708,2415884.775
Carnitine,3219553.306,1636371.882,4091134.979,1655570.876,1995829.802,1521202.888,2848724.453,2872294.401,3149756.978,3326417.412,5586061.472,2422983.798,3107084.123,3165588.202,5042421.087,2274046.892,3255571.551,6111849.478,1416684.148,4100430.112,4751472.248,3734852.65,4776257.433,5975405.949,4678118.325,3734979.2,5112706.834,5369841.875,5280711.295,7632873.07,2973953.981,7543163.725,8921124.011,12853113.35,6027729.149,4065842.637,3868851.92,7789476.513,9805171.343,3432271,2188453,2983887,5893541.671,5036488.944,4879538.778,8107386.83,1209139,5408999.245,4751427.801,1349940,2312528,4977928.246
Catechol,,,,106645.3349,,,,,,,37783.0132,,,,,,80792.15,64722.249,,,,,,,,25953.3164,47740.7669,93861.9437,98910.7506,149667.0945,37517.3481,75988.0139,360842.0579,196533.0101,194001.0222,77588.0972,139801.4113,,33660.2371,171226.0956,139402.1026,332727.7268,,,,19242.5705,,,,,,
Cholesterol,18150463.33,6490213.346,11299331.12,9887419.609,20762556.32,8802192.048,18807847.22,13983466.88,8624653.503,17366487.65,16915522.04,7136115.788,20240251.64,20856139.62,15692878.26,11139746.37,21841541.99,16299162.36,8975832.708,24715102.27,27703380.3,15365331.55,27977170.76,18115831.77,21362074.97,17848474.29,24392611.19,13288282.73,22247446.74,15821469.97,19557422,32656772.82,25202509.65,20104115.02,15144208.62,13073669.86,17082806.76,16430078.03,18550106.87,18040326.55,19430494.31,11883852.75,16752331.8,15550102.25,15226210.92,15523176.44,16483297.55,16505281.1,17362653.21,14454998.35,12691780.87,16123029.73
Ciliatine (2-Aminoethylphosphonate),594498.9442,894905.6656,863202.7806,635484.3177,393046.0499,717454.0696,859252.5562,1177020.084,679610.1244,489912.1483,563466.0239,481456.2716,505559.2208,570872.602,600946.0724,538330.6145,745155.5291,551403.3958,886897.209,797419.7385,487042.4301,623669.4172,721398.1721,735834.1528,607444.496,516499.8414,611608.1931,1019162.901,153423.9686,138782.8642,79646.9446,268987.7591,452805.413,53479.095,224338.2665,185995.0073,24322.4637,87584.4585,110200.9075,65857.5614,140321.3412,175323.6323,,,,,,,,,,
Citrate,324854925.4,35886337.51,49509371.81,49222703.66,289664204.1,25825748.76,346170588.3,189647720.5,86934924.87,354092446.2,82692280.85,4605870.18,289194240.2,329238648.1,208487645.2,44549174.61,68866226.25,27330170.18,93608458.89,213748604.1,142532912.2,51078704.82,223242337.9,271628996.2,47267055.61,85917440.89,605543.8637,83006934.11,40999302.91,746142.123,141894.163,681501.1278,192011.8577,214871.9279,532284.4416,383705.2013,219902.2161,87283408.61,98230.3726,189765.6148,70452.2022,79215,3267129.389,8526854.037,10044754.4,10096393.13,9907408.474,9394860.431,8801711.441,9088420.854,8960041.767,9267248.676
Citrulline,,91532,138007.2335,191264.3252,,184525,,,133580.9738,,360917,135107.7455,,,,135402.9011,507466,272664.3964,107580.7517,,128485.3747,299360,,,329956,360373,360067.5104,441755,203946,174641.4548,163413.1625,902665.5626,633069.8446,336863,378833,201839.777,252752.5086,236317,175970.7581,174627.1905,216218,125787.194,83190.0938,197281.0411,202530.7612,186186.8238,356103.8737,197834.9488,164555.8806,223764.1033,247952.5682,204647
