,Entrez,GeneName
883,4881,NPR1
884,4882,NPR2
885,4891,SLC11A2
886,490,ATP2B1
887,4905,NSF
888,4907,NT5E
889,491,ATP2B2
890,492,ATP2B3
891,493,ATP2B4
892,4942,OAT
893,495,ATP4A
894,4952,OCRL
895,4953,ODC1
896,496,ATP4B
897,4967,OGDH
898,498,ATP5A1
899,50,ACO2
900,5009,OTC
901,501,ALDH7A1
902,5019,OXCT1
903,5033,P4HA1
904,5034,P4HB
905,5048,PAFAH1B1
906,50484,RRM2B
907,50487,PLA2G3
908,5049,PAFAH1B2
909,5050,PAFAH1B3
910,50506,DUOX2
911,5051,PAFAH2
912,50515,CHST11
913,5052,PRDX1
914,5053,PAH
915,506,ATP5B
916,50614,GALNT9
917,50617,ATP6V0A4
918,50700,RDH8
919,50808,AK3
920,50814,NSDHL
921,509,ATP5C1
922,5091,PC
923,5092,PCBD1
924,50940,PDE11A
925,5095,PCCA
926,5096,PCCB
927,51,ACOX1
928,51004,COQ6
929,51005,AMDHD2
930,51022,GLRX2
931,5105,PCK1
932,51056,LAP3
933,5106,PCK2
934,51071,DERA
935,51079,NDUFA13
936,51086,TNNI3K
937,51102,MECR
938,51109,RDH11
939,51146,A4GNT
940,51166,AADAT
941,51179,HAO2
942,51181,DCXR
943,51196,PLCE1
944,51205,ACP6
945,51227,PIGP
946,51251,NT5C3A
947,51268,PIPOX
948,51292,GMPR2
949,51296,SLC15A3
950,513,ATP5D
951,5130,PCYT1A
952,51301,GCNT4
953,51302,CYP39A1
954,5136,NA
955,5137,PDE1C
956,5138,PDE2A
957,51380,CSAD
958,51382,ATP6V1D
959,5139,PDE3A
960,514,ATP5E
961,5140,PDE3B
962,5141,PDE4A
963,5142,PDE4B
964,5143,PDE4C
965,5144,PDE4D
966,51447,IP6K2
967,5145,PDE6A
968,5146,PDE6C
969,5147,PDE6D
970,51477,ISYNA1
971,51478,HSD17B7
972,5148,PDE6G
973,5149,PDE6H
974,515,ATP5F1
975,5150,PDE7A
976,5151,PDE8A
977,5152,PDE9A
978,51529,ANAPC11
979,5153,NA
980,51540,SCLY
981,51550,CINP
982,51557,LGSN
983,5158,PDE6B
984,516,ATP5G1
985,5160,PDHA1
986,51604,PIGT
987,51606,ATP6V1H
988,5161,PDHA2
989,5162,PDHB
990,5167,ENPP1
991,5168,NA
992,5169,ENPP3
993,517,ATP5G2
994,51700,CYB5R2
995,51703,ACSL5
996,51706,CYB5R1
997,5172,SLC26A4
998,51727,CMPK1
999,51733,UPB1
1000,518,ATP5G3
1001,51805,COQ3
1002,51809,GALNT7
1003,5184,PEPD
1004,5198,PFAS
1005,52,ACP1
1006,5207,PFKFB1
1007,5208,PFKFB2
1008,5209,PFKFB3
1009,521,ATP5I
1010,5210,PFKFB4
1011,5211,PFKL
1012,5213,PFKM
1013,5214,PFKP
1014,522,ATP5J
1015,5223,PGAM1
1016,5224,PGAM2
1017,5226,PGD
1018,523,ATP6V1A
1019,5230,PGK1
1020,5232,PGK2
1021,5236,PGM1
1022,5238,PGM3
1023,5244,ABCB4
1024,525,ATP6V1B1
1025,5250,SLC25A3
1026,5251,PHEX
1027,526,ATP6V1B2
1028,5264,PHYH
1029,5265,SERPINA1
1030,527,ATP6V0C
1031,5277,PIGA
1032,5279,PIGC
1033,528,ATP6V1C1
1034,5281,PIGF
1035,5283,PIGH
1036,5286,PIK3C2A
1037,5287,PIK3C2B
1038,5288,PIK3C2G
1039,5289,PIK3C3
1040,529,ATP6V1E1
1041,5290,PIK3CA
1042,5291,PIK3CB
1043,5293,PIK3CD
1044,5294,PIK3CG
1045,5295,PIK3R1
1046,5296,PIK3R2
1047,5297,PI4KA
1048,5298,PI4KB
1049,53,ACP2
1050,5305,PIP4K2A
1051,5313,PKLR
1052,5315,PKM
1053,5319,PLA2G1B
1054,5320,PLA2G2A
1055,5321,PLA2G4A
1056,5322,PLA2G5
1057,533,ATP6V0B
1058,5330,PLCB2
1059,5331,PLCB3
1060,5332,PLCB4
1061,5333,PLCD1
1062,5334,PLCL1
1063,53343,NUDT9
1064,5335,PLCG1
1065,53354,PANK1
1066,5336,PLCG2
1067,5337,PLD1
1068,5338,PLD2
1069,534,ATP6V1G2
1070,5340,PLG
1071,535,ATP6V0A1
1072,5351,PLOD1
1073,5352,PLOD2
1074,53630,BCMO1
1075,5372,PMM1
1076,5373,PMM2
1077,539,ATP5O
1078,53905,DUOX1
1079,53919,SLCO1C1
1080,53947,A4GALT
1081,54,ACP5
1082,54020,SLC37A1
1083,5406,PNLIP
1084,5407,PNLIPRP1
1085,5408,PNLIPRP2
1086,5409,PNMT
1087,54187,NANS
1088,54344,DPM3
1089,54363,HAO1
1090,54407,SLC38A2
1091,54480,CHPF2
1092,54490,UGT2B28
1093,54511,HMGCLL1
1094,54539,NDUFB11
1095,54575,UGT1A10
1096,54576,UGT1A8
1097,54577,UGT1A7
1098,54578,UGT1A6
1099,54579,UGT1A5
1100,54600,UGT1A9
1101,5464,PPA1
1102,54657,UGT1A4
1103,54658,UGT1A1
1104,54659,UGT1A3
1105,54675,CRLS1
1106,54677,CROT
1107,54682,MANSC1
1108,5471,PPAT
1109,54716,SLC6A20
1110,5476,CTSA
1111,548596,CKMT1A
1112,54872,PIGG
1113,54898,ELOVL2
1114,549,AUH
1115,54963,UCKL1
1116,54965,PIGX
1117,5498,PPOX
1118,54981,NMRK1
1119,54995,OXSM
1120,55,ACPP
1121,55065,SLC52A1
1122,55089,SLC38A4
1123,55163,PNPO
1124,55191,NADSYN1
1125,55217,TMLHE
1126,55224,ETNK2
1127,55229,PANK4
1128,55268,ECHDC2
1129,55276,PGM2
1130,55293,UEVLD
1131,55301,OLAH
1132,55304,SPTLC3
1133,55312,RFK
1134,55315,SLC29A3
1135,55326,AGPAT5
1136,55343,SLC35C1
1137,55349,CHDH
1138,55350,VNN3
1139,55361,PI4K2A
1140,5538,PPT1
1141,55454,CSGALNACT2
1142,55500,ETNK1
1143,55501,CHST12
1144,55512,SMPD3
1145,55568,GALNT10
1146,55577,NAGK
1147,55586,MIOX
1148,55627,SMPD4
1149,55650,PIGV
1150,55748,CNDP2
1151,55790,CSGALNACT1
1152,55808,ST6GALNAC1
1153,55811,ADCY10
1154,55825,PECR
1155,55902,ACSS2
1156,55907,CMAS
1157,55967,NDUFA12
1158,56052,ALG1
1159,5625,PRODH
1160,56267,CCBL2
1161,56301,SLC7A10
1162,5631,PRPS1
1163,5634,PRPS2
1164,56474,CTPS2
1165,56548,CHST7
1166,56603,CYP26B1
1167,56606,SLC2A9
1168,56623,INPP5E
1169,56848,SPHK2
1170,56894,AGPAT3
1171,56895,AGPAT4
1172,56913,C1GALT1
1173,56922,MCCC1
1174,56953,NT5M
1175,56954,NIT2
1176,56994,CHPT1
1177,570,BAAT
1178,57026,PDXP
1179,57030,SLC17A7
1180,57084,SLC17A6
1181,57094,CPA6
1182,57127,RHBG
1183,57134,MAN1C1
1184,57171,DOLPP1
