PubChem CID	KEGG	Human Metabolome Database	ChEBI	
SERINE	5951|6857581|6857549|71077	C00065|D00016|C00740	HMDB03406|HMDB00187	NA
SHIKIMATE-3-PHOSPHATE	121947	C03175	NA	CHEBI:17052
SN-GLYCEROL-3-PHOSPHATE	439162	C00093	HMDB00126	CHEBI:15978|CHEBI:17106
SUCCINATE	1110|21952380|1110|21952380	C00042	HMDB00254	CHEBI:15741
TAURINE	1123|4068592|1123|4068592	C00245|D00047|C00245	HMDB00251	CHEBI:15891|CHEBI:507393
THREONINE	6971019|6288|6288|6971019	C00188|D00041|C00188	HMDB00167	CHEBI:16857|CHEBI:57926
THYMINE	1135	C00178	HMDB00262	CHEBI:17821
TREHALOSE/SUCROSE	NA	NA	NA	NA
TRYPTOPHAN	6923516|6305|6305|6923516	C00078|D00020|C00078	HMDB00929	CHEBI:16828|CHEBI:57912
TYROSINE	6057|6942100|6057|6942100	C00082|D00022|C00082	HMDB00158	CHEBI:17895|CHEBI:58315
UDP	6031	C00015	HMDB00295	CHEBI:17659
UDP-D-GLUCOSE	8629	C00029	NA	CHEBI:52249
UDP-D-GLUCURONATE	17473	C00167	HMDB00935	CHEBI:17200
UDP-N-ACETYL-GLUCOSAMINE	445675	C00043	HMDB00290	CHEBI:16264
UMP	6030	C00105	HMDB00288	CHEBI:16695
URACIL	1174	C00106|D00027|C00106	HMDB00300	CHEBI:17568
UREA	1176	C00086|D00023|C00086	HMDB00294	CHEBI:16199|CHEBI:48376
URIC ACID	1175	C00366	HMDB00289	CHEBI:17775|CHEBI:46811|CHEBI:46814|CHEBI:46817|CHEBI:46823|CHEBI:62589
URIDINE	6029	C00299	HMDB00296	CHEBI:16704
UTP	6133	C00075	HMDB00285	CHEBI:15713
VALINE	6971018|6287|6287|6971018	C00183|D00039|C00183	HMDB00883	CHEBI:16414|CHEBI:57762
XANTHINE	1188	C00385	HMDB00292	CHEBI:17712|CHEBI:48517
XANTHOSINE	64959	C01762	HMDB00299	CHEBI:18107
