"","MCCR-00039-01","MCCR-00040-01","MCCR-00041-01","MCCR-00042-01","MCCR-00043-01","MCCR-00044-01","MCCR-00045-01","MCCR-00046-01","MCCR-00047-01","MCCR-00048-01","MCCR-00049-01","MCCR-00050-01","MCCR-00051-01","MCCR-00052-01","MCCR-00053-01","MCCR-00054-01","MCCR-00055-01","MCCR-00056-01","MCCR-00057-01","MCCR-00058-01","MCCR-00059-01","MCCR-00060-01","MCCR-00061-01","MCCR-00062-01","MCCR-00063-01","MCCR-00064-01","MCCR-00065-01","MCCR-00066-01","MCCR-00067-01","MCCR-00068-01","MCCR-00069-01","MCCR-00070-01","MCCR-00071-01","MCCR-00072-01","MCCR-00073-01","MCCR-00074-01","MCCR-00075-01","MCCR-00076-01","MCCR-00078-01","MCCR-00079-01","MCCR-00080-01","MCCR-00081-01","MCCR-00082-01","MCCR-00083-01","MCCR-00084-01","MCCR-00085-01","MCCR-00086-01","MCCR-00087-01","MCCR-00088-01","MCCR-00089-01","MCCR-00090-01","MCCR-00091-01","MCCR-00092-01","MCCR-00093-01","MCCR-00094-01","MCCR-00095-01","MCCR-00096-01","MCCR-00097-01","MCCR-00098-01","MCCR-00099-01","MCCR-00100-01","MCCR-00101-01","MCCR-00102-01","MCCR-00103-01","MCCR-00104-01","MCCR-00105-01","MCCR-00106-01","MCCR-00107-01"
"","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor"
"anserine","0.316446","0.483317","0.316446","0.316446","0.316446","0.316446","0.316446","0.316446","0.316446","0.316446","0.316446","0.316446","0.316446","0.316446","0.316446","0.316446","0.316446","0.316446","0.316446","0.316446","0.316446","0.316446","2.873479","0.316446","0.730016","0.316446","0.316446","0.316446","0.316446","0.316446","0.316446","2.970546","0.316446","0.316446","0.316446","0.316446","0.316446","0.316446","0.316446","0.316446","1.200295","0.316446","0.316446","0.799705","0.316446","0.316446","1.784389","0.316446","0.316446","0.316446","0.316446","0.316446","0.316446","0.316446","0.316446","0.566699","1.269984","0.316446","0.316446","0.316446","0.956369","0.316446","0.316446","0.316446","0.316446","0.316446","1.000000","0.316446"
"arabinose","0.069876","0.274854","0.906202","2.237991","1.445452","0.416049","1.219640","0.069876","1.093798","2.206687","1.120893","1.211879","0.069876","1.000000","1.903225","1.000000","2.164951","0.335893","0.069876","0.842049","1.837834","0.069876","0.069876","0.654550","0.069876","0.948810","0.069876","0.069876","2.461743","2.861052","0.365391","0.069876","0.069876","1.974096","0.069876","0.069876","0.069876","0.069876","0.069876","0.069876","0.069876","0.069876","0.069876","0.069876","0.069876","0.069876","0.069876","0.069876","0.069876","2.495022","0.069876","0.085366","0.069876","0.069876","0.069876","0.069876","0.069876","0.069876","0.318754","0.097521","0.069876","0.397891","0.069876","0.069876","0.069876","0.116234","0.069876","0.069876"
"arabitol","4.424056","1.000000","1.582729","6.062208","2.226444","0.718896","1.979988","1.627081","2.912812","8.425007","1.664230","5.075209","1.255426","5.134961","3.484663","2.495033","3.941968","0.376218","0.238797","2.503011","1.406888","1.000000","0.382830","1.000000","0.150877","4.439136","0.163880","1.396066","6.502756","6.571041","0.386052","0.397293","0.192013","6.077098","0.150877","0.150877","0.150877","0.186790","0.736445","0.150877","0.150877","0.224792","0.260029","0.150877","0.172160","0.159333","0.397868","0.150877","0.332307","4.150681","0.150877","0.150877","0.150877","0.150877","0.150877","0.150877","0.150877","0.281610","0.150877","0.186116","0.295775","0.487592","0.260636","0.150877","0.150877","0.498830","0.150877","0.150877"
"arabonate","5.936530","0.961408","0.791218","4.874334","1.912122","1.060245","1.512668","0.612342","4.411493","8.891822","0.959658","5.204540","1.832156","3.279430","5.967015","3.573225","1.038592","0.799959","0.058068","1.128783","1.747405","0.541631","0.058068","2.869199","0.311644","3.486187","0.058068","1.004567","1.774122","10.488091","0.058068","0.058068","0.182313","4.322219","0.058068","0.058068","0.749728","0.058068","0.995433","0.058068","0.058068","0.058068","0.058068","0.108793","0.118429","0.110563","0.914030","0.058068","0.058068","13.285023","0.184158","0.420686","0.183434","0.227119","0.058068","1.000000","0.058068","0.058068","0.434339","0.058068","0.058068","1.055663","0.058068","0.058068","0.238492","0.388310","0.058068","0.451024"
"arachidonate (20:4n6)","1.647756","1.516389","1.266801","1.123575","0.796725","0.758529","1.812291","0.836280","0.996002","0.856112","0.932206","0.796669","1.360288","0.673282","0.503439","1.219714","1.370268","0.927846","0.771194","0.905668","1.447144","1.094988","1.000000","0.799701","0.739824","0.729976","0.394599","0.481432","1.537420","0.395326","0.950377","2.503808","0.695618","1.000000","2.060374","1.038824","0.863109","0.631609","1.526567","1.525112","1.008121","1.209162","0.620452","1.240033","1.043676","0.779439","0.870448","0.349540","1.097199","0.616051","0.120321","0.367246","1.220607","0.758878","1.211941","1.000000","0.405298","1.325546","1.216560","1.615788","0.955105","1.193865","2.290457","1.840965","1.373692","0.983117","1.553237","1.546865"
"arginine","1.116912","0.947351","1.379704","1.240463","1.032577","0.569371","1.105633","1.180094","1.659329","1.651855","1.018670","0.873375","1.772045","1.410155","1.154857","1.253297","0.747954","0.741130","1.063537","0.738218","1.000000","0.756533","0.909690","0.999277","0.283406","1.032917","0.730618","1.356921","1.000000","2.370847","0.978957","1.882951","0.363736","1.011864","1.129842","0.367264","1.006773","0.551875","0.975946","1.359161","0.916528","1.029903","0.281308","1.085916","0.884618","0.864177","1.306437","0.366326","1.599104","0.802508","0.168411","0.339473","1.210768","0.611892","0.564984","1.591074","0.322762","1.265338","1.417453","0.993227","0.926320","0.876854","0.168411","0.942684","1.285145","0.910796","1.165861","0.872297"
"ascorbate (vitamin c)","5.457465","0.627245","1.000000","0.161955","0.472756","0.727240","1.204713","0.976038","0.025851","0.056598","0.287196","5.107613","0.036081","0.322488","0.323630","0.630700","0.177528","0.023405","0.148315","2.205751","1.419232","2.793552","6.326778","1.218385","0.032059","1.000000","0.462591","1.000000","0.384759","0.049010","2.370601","2.378034","0.026606","0.008827","0.912550","0.578019","4.849925","1.332533","1.519722","2.730725","1.182393","5.234065","0.315047","0.324416","1.298621","2.111161","15.430192","0.076836","2.609004","0.447341","0.676678","0.008827","1.431909","0.096803","2.166406","1.403158","0.867895","5.464475","1.574863","1.386332","1.693130","1.260051","0.008827","0.233164","1.007479","1.060495","2.787138","0.074193"
"asparagine","1.323695","1.161445","0.680452","0.696973","0.227362","0.847200","0.338406","0.546780","0.564899","0.943435","0.233393","0.299608","0.466174","0.865500","0.685589","0.451424","0.387292","0.646108","0.562649","0.429416","0.366695","0.731623","2.375928","0.929273","1.225460","1.000000","1.001105","1.003248","0.612598","1.065498","1.000000","1.562897","1.069713","0.687114","1.107371","0.522893","6.426531","1.668314","1.946426","0.783677","4.904509","2.178116","0.713373","4.295099","1.367083","2.494141","6.150349","1.465386","2.532840","0.656516","1.513607","0.466890","1.220826","2.399235","0.872068","1.403616","1.012136","2.198895","1.000000","0.957828","4.104677","0.916454","0.380373","2.273821","2.532982","0.863234","1.686814","1.668975"
"aspartate","2.072485","0.339286","2.363500","1.557702","1.956409","0.695698","4.815938","0.409882","0.545322","2.489190","1.463204","1.713222","0.258607","0.705301","0.908331","1.025606","2.448676","1.311200","0.282281","1.283658","2.881967","1.076524","1.306330","1.104280","0.443070","0.317486","0.603464","0.225162","4.066238","1.224234","1.000000","0.428205","0.555881","2.247285","1.000000","0.331757","1.407787","0.632546","1.084487","1.139109","0.703198","2.173371","0.490075","0.798461","0.626553","1.398278","1.087503","0.298606","1.306025","0.403691","0.298027","0.277135","0.610105","0.977694","0.976712","1.490344","0.204819","1.103333","2.098386","1.213511","3.506779","1.000000","0.124208","0.530442","1.230214","0.928075","0.912596","0.796021"
"aspartylleucine","1.000000","0.461374","0.461374","0.461374","0.461374","0.461374","0.681095","0.461374","0.461374","0.673345","0.461374","0.461374","0.461374","0.461374","0.461374","0.461374","0.797031","0.461374","1.668042","0.461374","0.461374","0.461374","1.006077","0.461374","0.461374","0.461374","0.551577","0.461374","0.461374","0.461374","1.259015","0.993923","0.461374","0.461374","0.901602","0.461374","1.452362","1.176167","0.461374","0.863548","0.461374","1.065320","0.461374","0.835452","0.461374","0.461374","2.010572","0.461374","0.461374","0.461374","0.461374","0.461374","0.542484","0.461374","1.517898","2.178379","0.461374","3.643244","1.000000","0.461374","0.461374","0.461374","0.461374","1.779938","1.061553","0.845012","0.936805","0.461374"
"benzoate","0.469450","0.583346","1.283044","0.590672","1.016211","1.311695","0.874659","0.896639","0.721216","0.685615","0.924998","2.394433","0.525917","0.638909","0.858848","0.965833","0.545144","0.880906","1.940895","3.053604","0.671407","0.917268","0.845229","1.089481","1.000000","0.687529","1.704333","0.605788","1.316705","0.454704","1.149884","1.304650","2.047750","0.897791","0.852121","2.314792","0.607646","2.695904","1.060853","1.000000","2.943946","1.183732","1.805267","0.791177","0.980762","0.700435","0.535878","1.322456","1.318453","0.597316","1.688683","1.080136","0.699626","2.012272","1.610611","1.000000","2.756540","0.935272","1.569545","1.273417","1.097803","0.904541","4.976834","1.621695","0.609730","1.531121","0.765860","1.333542"
"beta-alanine","1.018623","0.318057","1.047312","0.981377","0.789222","0.730068","1.834874","0.384678","1.000000","0.976879","0.638762","0.154070","0.544915","0.309274","0.612172","0.586400","0.898220","0.381913","0.959166","1.095167","0.545053","2.138269","0.621940","1.165644","0.802122","0.455155","0.588288","0.897768","0.899175","0.951101","1.059320","2.912185","0.616512","1.562116","1.601963","10.251301","0.882047","1.049339","2.216856","1.726155","0.970320","2.139574","2.441607","2.985396","6.800982","1.969238","1.084633","2.421990","0.748086","0.486843","0.977215","1.000000","4.299546","1.762800","1.693124","2.177114","0.722454","3.361502","2.454811","2.771799","3.727027","0.500809","0.154070","0.772878","1.410707","0.423468","1.001328","1.367728"
"beta-hydroxyisovalerate","0.312801","1.255722","0.824245","1.122766","0.922907","1.515759","1.125988","0.800064","1.075078","0.312801","0.866076","0.498510","0.811085","1.934250","0.607127","0.587336","0.741127","0.312801","0.481822","1.240850","0.399877","1.008744","2.000454","1.660301","0.312801","0.762380","0.312801","3.079412","1.000000","0.956907","2.910739","1.193565","1.043093","2.042142","1.379050","0.565574","1.013198","0.876744","0.959982","1.171785","1.797060","0.728667","0.929618","1.202944","1.000000","1.178431","3.614882","0.590631","0.987214","3.080562","0.772389","0.458155","1.050019","0.801280","0.808205","0.574705","1.249135","1.702472","0.796915","0.312801","1.503998","0.497907","1.046986","0.536419","1.079572","0.672081","1.105577","0.545991"
"betaine aldehyde","0.578370","1.042215","0.578370","0.578370","0.578370","2.254340","0.578370","0.578370","1.014040","0.578370","0.731256","0.578370","1.016009","0.650318","0.578370","0.740174","0.578370","0.578370","0.578370","0.578370","0.578370","1.290853","0.578370","3.559906","0.609018","3.351285","0.587450","0.578370","0.578370","0.578370","0.660825","0.578370","0.986347","1.000000","1.000000","0.578370","0.578370","0.578370","3.430545","0.611697","1.371465","0.578370","0.971880","1.000000","0.578370","1.100453","0.578370","0.738431","1.844125","0.578370","0.578370","0.578370","0.578370","1.096576","0.578370","0.578370","0.578370","0.578370","0.578370","0.578370","3.254127","0.586026","1.485645","0.578370","0.578370","0.690783","0.859417","0.925315"
"butyrylcarnitine (c4)","0.065681","1.031070","1.000000","0.266769","0.155771","1.015060","2.130168","0.484353","0.389944","0.065681","0.143392","0.343729","0.574788","1.586374","0.418526","0.571799","0.065681","0.292954","1.185058","0.544676","0.535075","1.952201","4.327202","0.786719","0.656149","0.737614","1.356057","1.146715","0.069570","1.812771","1.302712","1.357649","3.639304","0.152460","1.210954","0.829083","1.336050","0.906068","0.758021","1.178964","3.272058","2.829084","1.047257","2.574656","2.806258","1.549433","3.077103","0.945054","2.483331","0.537208","5.226367","0.479957","1.779227","1.000000","0.370206","2.253226","0.547663","2.158379","2.158719","1.069668","0.636782","0.660700","0.191937","1.524536","0.876984","0.500210","1.000000","0.590159"
"caprate (10:0)","1.159084","0.906627","1.081354","0.716687","0.644984","0.868427","1.019425","0.655608","0.659979","1.173144","0.904581","0.920858","0.854546","1.007657","1.170063","0.926829","1.266148","0.909381","0.883413","0.952944","0.821720","0.899750","1.123976","1.000000","2.054464","0.883092","1.009797","0.985929","1.124573","0.718793","0.999648","1.000000","1.144374","0.972701","1.044632","1.371967","1.000000","0.999380","1.256603","0.979561","0.911191","1.000025","1.278520","1.111253","1.315642","0.870424","0.846607","0.870259","1.228845","0.692380","1.329194","1.127436","0.955317","0.967200","0.926750","0.800920","1.491289","1.112304","1.128071","0.927952","1.076387","1.051342","2.268294","0.731683","1.077979","1.069647","1.402316","1.149335"
"caproate (6:0)","0.374512","0.374512","0.374512","0.374512","0.374512","1.189062","0.374512","0.374512","0.374512","1.093971","0.374512","0.374512","0.374512","0.374512","0.374512","0.374512","1.000000","0.374512","0.374512","0.374512","0.374512","0.374512","0.374512","0.374512","1.139896","0.374512","0.374512","0.374512","0.374512","0.983533","0.374512","0.374512","0.374512","0.374512","0.374512","0.374512","0.608067","0.374512","0.374512","0.374512","1.016467","0.374512","0.875333","0.374512","0.906029","0.374512","0.374512","0.374512","0.374512","0.374512","0.374512","2.726513","0.374512","0.374512","0.374512","0.374512","0.374512","0.374512","0.374512","0.374512","0.374512","0.374512","1.167110","0.374512","0.536057","0.374512","0.374512","0.374512"
"caprylate (8:0)","0.721101","0.449703","1.126401","0.449703","1.179306","0.449703","0.985929","0.449703","0.449703","0.674079","0.449703","0.834061","0.449703","0.449703","1.000000","0.996038","0.449703","0.449703","0.449703","0.481343","0.994519","1.521630","0.449703","0.920091","3.714302","0.987384","1.124442","0.972046","1.080987","0.449703","0.449703","0.743723","0.469183","0.975970","0.449703","1.515194","1.023593","0.888635","1.065837","0.449703","0.449703","0.794496","1.089899","1.190746","1.815545","0.449703","0.449703","0.449703","0.449703","0.449703","1.049347","1.474975","0.449703","0.857770","0.449703","0.449703","0.449703","1.156619","0.449703","1.003962","0.994342","1.106927","2.750222","0.449703","0.740134","0.449703","1.005658","0.874796"
"carbamazepine 10,11-epoxide*","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","1.386107","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893","0.613893"
"carbamazepine*","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","1.151235","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765","0.848765"
"carnitine","0.586654","0.969536","1.118151","0.430120","0.322679","0.903989","1.377549","0.512664","0.768742","0.221894","0.452615","0.617307","0.847759","0.959412","0.437406","0.785046","0.423114","0.348993","1.013436","1.044491","0.641148","1.056008","3.048252","0.925994","1.000000","0.482757","0.609977","0.915113","0.416222","0.778277","1.901445","1.795127","1.785396","0.840726","1.014070","0.979849","1.519794","0.982351","2.117767","1.659289","1.436651","1.200372","0.957358","1.587899","1.506389","1.479643","3.932088","0.555269","1.493142","1.000000","0.771091","0.756928","1.116613","1.109274","1.323342","1.694712","0.845204","1.362151","1.932940","1.222176","2.579328","1.035598","0.406059","1.162488","1.095186","1.464827","1.000000","0.790687"
"c-glycosyltryptophan*","2.496537","1.080023","1.052126","2.164551","1.168884","1.000000","1.415922","1.290011","1.703660","2.680168","1.000000","2.699170","1.471643","2.313317","1.663055","1.339409","1.297048","0.569292","0.448742","1.362168","1.505390","1.108899","1.175155","1.091891","0.398136","1.431523","0.474287","0.795816","1.196112","2.122190","0.755600","0.900217","0.281418","2.804082","0.904360","0.831353","1.239564","0.360298","0.988816","0.826451","0.606148","1.694180","0.534431","1.384898","1.203479","0.585590","1.206760","0.333011","1.103335","2.482103","1.000000","0.419644","0.816342","0.490005","0.377524","0.831037","0.547590","1.095094","0.687730","0.890852","0.785697","1.173812","0.215885","0.841470","0.622486","0.574736","0.892249","0.721728"
"chiro-inositol","2.036188","0.170767","3.195828","0.712832","0.656760","0.665918","0.170767","1.000000","0.170767","1.616842","0.581672","3.991881","0.170767","0.170767","0.933604","1.045782","0.170767","1.000000","0.170767","1.039072","0.486822","0.753772","0.170767","0.939318","0.170767","0.525281","1.099503","3.183811","1.735917","0.993677","0.873767","0.170767","0.170767","0.922860","0.170767","1.341099","0.857087","0.468944","1.234243","1.432659","0.170767","0.170767","0.537050","0.170767","0.170767","1.695756","1.408426","0.170767","2.306392","0.938093","1.611965","0.170767","11.706553","0.308386","1.039438","0.650569","1.721926","0.431895","13.688195","0.954218","0.170767","0.604624","0.850019","0.498756","3.266381","1.179543","1.385587","0.170767"
"cholesterol","1.304782","0.792605","1.164109","1.171766","1.347041","1.285385","1.318181","1.938475","1.000000","1.200789","1.222682","0.765420","1.353621","1.000000","1.310851","1.083591","1.135108","1.296190","0.579588","1.374973","1.347635","1.249076","0.632551","0.882961","0.915300","0.608078","0.287605","0.538089","1.289667","1.035821","1.116963","1.151205","0.938085","1.331884","1.206912","0.548177","0.861757","0.791899","1.214053","0.841789","0.657771","0.788516","1.090372","0.873615","0.959643","1.223490","0.605252","0.634746","0.786302","1.218630","0.537353","0.332497","1.015942","0.826989","0.941398","0.944535","0.500838","0.839590","1.231075","1.259495","1.019602","1.259678","0.777091","0.369182","1.154953","1.000000","0.871918","0.759691"
"phosphocholine","1.093282","0.448158","1.568152","0.816584","1.104422","0.917606","1.895775","0.392351","0.557037","0.874551","0.857259","1.761883","0.391838","0.522392","1.143459","1.178334","1.095983","1.012667","0.688053","0.701872","2.086712","1.116008","3.317454","0.963169","0.347885","0.252844","1.498056","1.420669","1.102305","0.728630","1.098435","0.848207","1.028047","1.431034","2.043555","1.172579","1.201113","1.402478","0.668768","1.307360","0.977599","0.573823","1.000000","0.917432","1.000000","1.014405","2.266259","0.498111","0.915882","0.689407","1.103291","0.278086","0.712938","0.579787","1.027220","1.000000","0.777081","1.838912","0.965189","1.512375","0.680324","1.780586","0.074381","0.513604","0.804327","1.096041","1.354259","0.598520"
"vaccenate (18:1n7)","1.879419","1.000000","1.241205","1.454113","1.272225","0.823148","1.978921","2.621473","1.747066","1.429211","1.359563","1.262174","1.660813","1.277205","0.985137","1.067301","1.590085","1.245264","0.615451","1.185752","1.414343","0.924616","1.232393","1.075456","0.498766","0.573854","0.279008","0.502899","1.474092","0.994538","0.994501","0.748282","0.919345","1.407325","1.043610","0.770514","0.688543","0.479389","1.275078","0.841782","0.607895","1.282434","0.635739","1.000000","0.536590","0.697797","0.973057","1.000000","0.663610","1.278108","0.420208","0.194706","0.928785","0.631097","0.671422","0.897420","0.297473","0.886131","0.840613","1.400742","1.099140","1.059428","1.329189","1.100265","1.007190","0.509975","0.699287","1.289462"
"citalopram","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","8.821608","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","1.000000","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793","0.384793"
"citrate","0.337464","0.381222","0.791141","0.875013","0.281062","3.459831","0.397016","0.581763","1.000000","1.232548","1.564461","1.330518","2.009785","2.933252","2.508397","1.879951","0.691518","0.170839","0.438481","1.714371","1.651988","0.968882","0.071796","1.672772","1.517844","1.624465","0.104666","1.486200","1.132242","0.984610","2.134881","0.779593","1.541999","1.242114","1.890051","1.312861","0.100727","0.619996","3.215621","2.102333","0.387814","2.121240","1.278503","0.714409","0.106179","2.804798","0.062420","0.170766","0.096492","13.054365","0.482103","1.414310","1.576723","1.000000","0.092851","2.215318","0.400837","0.113721","0.499134","2.991412","3.072033","1.965782","2.951882","0.041591","0.500963","0.363200","1.000000","0.205033"
"citrulline","3.126847","2.371969","0.982661","0.701953","0.463397","1.313672","0.344583","1.321215","0.831063","0.324529","0.648098","1.027769","2.182624","0.988464","0.659254","1.791350","0.717384","0.512217","1.953690","1.002937","1.283016","0.701116","3.335519","0.732260","1.096126","1.008279","0.470337","0.767567","0.434683","1.747351","1.212951","1.000000","1.584458","1.028279","1.132434","1.051236","0.894110","0.878817","1.362716","1.116647","0.382734","0.702772","1.020228","0.778549","0.757344","1.166612","3.231826","0.516219","2.153140","1.121182","0.556799","0.262904","1.489509","1.776306","0.995084","1.040590","1.298588","1.365976","1.000000","3.182650","0.777534","0.891744","1.000000","0.549117","0.606439","0.687260","0.992819","2.635381"
"creatine","1.577386","0.941299","1.500260","1.743960","1.019922","0.706816","3.225290","1.124365","1.285155","2.485451","1.100999","1.705867","2.183204","1.000000","1.360507","1.027675","1.944454","0.846097","0.631106","1.639691","1.537836","1.535135","1.534905","1.386449","0.165390","1.035311","0.242413","1.038761","2.522571","1.938595","1.913073","0.853470","0.781340","1.408760","1.008333","0.345267","1.061936","0.520922","0.894116","1.348426","0.392871","0.471511","0.779179","0.709580","0.414520","0.585247","1.395083","0.266003","0.654212","1.789785","0.552739","0.225997","0.485110","0.477242","1.153978","1.490963","0.723417","0.737864","1.521962","0.965765","0.627262","1.000000","0.065298","0.374816","0.588519","1.000000","0.754384","0.428948"
"creatinine","2.351790","0.979623","1.071733","1.695761","2.019771","0.925499","2.240844","1.486391","1.289290","1.902645","2.104007","3.018942","1.091950","2.550077","1.735438","1.046563","2.305461","0.799589","0.580614","2.206368","2.081309","0.974426","1.060296","1.375690","1.016403","1.598408","0.609792","0.586365","2.291672","2.680855","0.943506","1.000000","0.667385","2.189120","1.069087","0.863113","0.713131","0.649270","1.167223","0.838177","0.401252","0.924763","0.867040","1.000000","0.803137","0.875361","0.943061","0.930979","1.023406","1.653152","0.834930","0.562268","1.009275","1.094990","0.832587","0.790123","1.148179","0.822588","1.054909","0.838727","0.231969","0.956573","0.729391","0.618273","1.059260","1.000000","0.666308","0.435676"
"cystathionine","1.884039","2.537514","1.532733","3.714472","0.671708","0.648919","1.000000","4.913961","2.145557","3.257645","5.508848","2.268786","6.019611","3.474847","3.505417","5.788702","1.289065","0.557453","2.324326","7.844947","1.057372","1.618918","0.524016","0.078543","0.175789","1.000000","0.139712","3.697310","3.284703","4.180545","0.305360","0.203437","1.939658","3.468769","1.317017","0.136125","0.072459","0.346433","2.570599","0.207458","1.313382","0.145040","0.989730","1.000000","0.868382","0.588317","0.864809","0.289178","1.869357","5.720677","0.229171","0.110853","0.673714","0.439517","1.008562","1.713473","0.594190","0.702361","0.160958","1.770490","0.480190","2.495977","0.014329","3.715570","0.752679","0.356066","0.557220","0.034252"
"cysteine","1.449860","0.960556","1.624534","1.092842","0.513460","0.831861","0.107838","1.781502","0.639979","1.544591","1.263486","2.872358","1.046087","0.485839","1.048048","1.033664","0.524913","0.847683","0.807961","0.689966","1.172081","0.873992","4.807631","1.299538","1.000000","0.577311","0.413752","1.016785","1.017450","0.868833","1.822789","1.000000","0.446949","0.599300","1.041271","0.702040","1.242652","0.763391","1.270723","1.100134","1.026023","0.860068","0.555757","1.311826","2.408113","0.208340","4.276628","0.661372","1.774292","1.640432","0.426403","0.369692","0.669777","0.544013","0.114071","1.743275","0.676542","1.543787","0.912265","1.199284","1.063579","0.938336","0.017160","1.525850","1.224660","0.731084","1.483768","0.876659"
"cysteine sulfinic acid","0.069879","0.155947","0.326436","0.069879","0.069879","0.328242","0.069879","0.069879","0.096659","0.069879","0.069879","0.168394","0.696255","0.069879","0.069879","0.337078","0.069879","0.069879","0.157343","0.069879","0.069879","0.530048","0.271862","0.318814","1.212732","0.183798","0.785297","0.248186","0.069879","0.276120","1.497156","0.980840","0.294665","0.167967","1.305160","1.437053","3.278824","1.711463","7.828496","0.069879","4.251442","6.780124","0.215253","10.324962","2.901504","1.946077","4.278252","2.697240","10.729522","0.069879","0.787268","1.748737","1.000000","3.977308","0.126652","1.489673","0.435967","3.143914","1.502933","1.338565","0.858704","0.258267","0.069879","1.772085","1.003066","0.558142","1.019160","3.771369"
"cysteine-glutathione disulfide","1.337755","2.073461","2.666921","1.794838","1.004929","0.820322","0.117957","1.913542","0.167494","1.850377","2.123190","1.485224","0.414000","1.516477","1.398993","1.476823","1.260532","1.016118","0.979140","1.105374","1.362567","1.164292","0.825091","1.876022","1.105062","0.267786","0.509101","0.934445","1.436857","1.377223","1.020860","0.815538","0.291458","0.580970","0.455975","0.991041","0.417489","0.359215","1.687295","0.762537","1.008959","0.730973","1.000000","1.049923","0.679521","0.497620","0.117957","1.302734","2.095228","1.418707","0.456825","0.502053","0.439253","0.380584","0.398574","0.698133","0.558771","0.492700","0.921896","1.983272","0.972328","1.124968","0.117957","1.097859","0.642239","1.356180","1.676826","0.732368"
"cystine","2.160383","0.750186","0.830260","0.829293","0.218857","5.104781","0.084178","10.774587","3.031583","1.279579","2.472085","1.189877","4.815322","0.084178","1.282120","1.459490","0.084178","0.396050","0.961706","2.288653","0.502286","0.861359","2.507982","0.826554","0.873344","6.601756","0.743482","0.650774","0.717396","0.247280","0.405850","1.000000","2.271095","1.000000","0.084178","0.189742","0.084178","0.539499","0.575257","0.759894","1.069372","0.084178","0.577491","1.104615","3.416005","0.084178","5.942277","0.458929","1.971930","5.724668","0.084178","5.028529","0.133820","2.642946","0.084178","0.400747","1.966106","0.084178","0.388172","1.280544","0.755163","1.133761","0.084178","0.906598","0.930628","1.101264","3.662907","4.557186"
"cytidine","0.250206","0.250206","0.250206","0.250206","0.921656","0.250206","0.250206","0.774300","1.227034","0.250206","4.872701","1.518921","0.250206","1.233476","0.250206","0.250206","1.920486","0.250206","0.250206","1.078344","1.021715","2.896158","0.250206","0.250206","0.250206","0.250206","0.250206","0.250206","0.250206","1.000000","0.590696","0.644604","0.250206","1.070052","0.250206","0.250206","0.250206","0.250206","0.250206","0.250206","0.250206","0.250206","0.250206","0.250206","0.250206","1.359813","0.250206","0.250206","0.623987","0.250206","0.250206","0.250206","0.266204","0.250206","0.618762","0.250206","1.000000","0.250206","0.250206","0.619915","0.250206","0.722611","0.250206","0.250206","0.250206","0.250206","0.250206","0.250206"
