440533,-2.3340849719424601,
64333,-1.96242398173189,ARHGAP9
7185,-1.5254287445841199,TRAF1
246329,-1.4655993209225899,STAC3
79861,2.9184132713613899,TUBAL3
114614,-1.9496181350613899,MIR155HG
9404,-1.5939696503015,LPXN
160365,-2.7231463178502202,CLECL1
1441,-2.1832539253418899,CSF3R
5973,-1.63867505917955,RENBP
8676,-1.6054896268954599,STX11
7454,-1.8924625253885099,WAS
3687,-2.1770532191536001,ITGAX
58484,-1.7926898811597001,NLRC4
146850,-1.7645305698193601,PIK3R6
7940,-1.79625995939465,LST1
79805,-1.74376855986068,VASH2
971,-1.9391599669470101,CD72
79822,-1.8035202783706199,ARHGAP28
79784,2.42765901326058,MYH14
122618,-2.1717231966641699,PLD4
54440,-2.18895404108715,SASH3
115992,-1.0726189556085699,RNF166
146722,-1.9768991800929401,CD300LF
59335,2.3507196839268198,PRDM12
212,-4.02831388752554,ALAS2
84329,-1.65894343509035,HVCN1
374403,-2.1063522001971502,TBC1D10C
7096,-1.54678119758767,TLR1
3988,-1.4402446927199399,LIPA
256236,-2.4898961643561401,NAPSB
259307,-1.8141482740803401,IL4I1
8477,-1.7515407572338699,
219968,-1.1638816969877599,OR5B21
64170,-1.8193566625062101,CARD9
10870,-1.59583474380719,HCST
6688,-1.8872828808506801,SPI1
79713,-1.37963261145183,IGFLR1
127841,2.39834025653593,LINC00628
23533,-1.9488320368466101,PIK3R5
146,-2.4435309768607101,ADRA1D
54518,-2.0223453555388802,APBB1IP
23062,-0.99637426587359901,GGA2
221472,-1.79133649964987,FGD2
81794,-1.7906563289231301,ADAMTS10
1109,3.7482304305318102,AKR1C4
60468,-1.70579712792769,BACH2
140706,-1.5084875756038301,CCM2L
90273,-2.0231206484437498,CEACAM21
4689,-1.70201847411967,NCF4
3683,-2.37153461166869,
199,-1.8000503889433099,AIF1
55911,-1.6166682770382399,APOBR
283070,-1.5092826237593899,
11027,-2.0330506715452099,
9586,-1.6943033403453001,CREB5
9046,-1.6202847745778199,DOK2
57705,-2.4967400095460901,WDFY4
54988,-2.45739878102775,ACSM5
85479,-2.4582508073691098,DNAJC5B
6372,-3.3072587772219499,CXCL6
79168,-2.0105516197990401,LILRA6
79083,3.21639444546167,MLPH
124460,-1.9882149382032099,SNX20
285419,2.2322610130550999,LINC01091
51411,-1.7375159266112401,BIN2
115761,-1.7444380880325101,ARL11
89790,-1.9707631923372,SIGLEC10
1118,-3.3051964113347201,CHIT1
27143,-1.4882243180927199,PALD1
1557,4.2761911015303102,CYP2C19
375387,-1.5070984960298099,NRROS
1117,-2.4276855219670401,CHI3L2
146183,-2.03797562742754,OTOA
5362,1.42569143882991,PLXNA2
339778,2.89469451805043,C2orf70
64926,-1.7623803848844,RASAL3
29062,-0.99301140039571201,WDR91
596,-1.6507631815472199,BCL2
1326,-1.4411636250192601,MAP3K8
