"","StromalScore","ImmuneScore","ESTIMATEScore","APM1","APM2","Angiogenesis","B.cells","CD8.T.cells","CTLA4","Cytotoxic.cells","DC","Eosinophils","Macrophages","Mast.cells","NK.CD56bright.cells","NK.CD56dim.cells","NK.cells","Neutrophils","PD1","PDL1","T.cells","T.helper.cells","Tcm.cells","Tem.cells","Tfh.cells","Tgd.cells","Th1.cells","Th17.cells","Th2.cells","Treg.cells"
"trans-4-hydroxyproline",0.520948935577084,0.557553078061045,1,0.754880444355198,0.12916175578724,0.386434553629285,0.434522554208937,0.881472363014635,0.356039941834194,0.0815541216928155,0.356039941834194,0.260598370671166,0.163386034746161,0.945983670156841,0.539113807034715,0.434522554208937,0.713791318994479,0.0133753659145312,0.614426013724972,0.182531860964529,0.817650128521417,0.539113807034715,0.213864224336727,0.775664871585324,0.260598370671166,0.673423202665486,0.775664871585324,0.114016394963896,0.0370010457545527,0.434522554208937
"hypotaurine",0.371067789395025,0.137219212931031,0.106918151178142,0.327015951002671,0.59521871798588,0.59521871798588,0.12142915576969,0.12916175578724,0.371067789395025,0.313026082995925,0.203068420186092,0.299387684486896,0.945983670156841,0.0478169053553036,0.299387684486896,0.539113807034715,0.693511174791049,0.299387684486895,0.154327160537791,0.0874530601806711,0.327015951002671,0.653538937959263,0.83882493483871,0.260598370671166,0.12142915576969,0.172786506584626,0.520948935577084,0.327015951002671,0.673423202665486,0.796592401118967
"hypoxanthine",0.989189709913342,0.0370010457545527,0.313026082995925,0.260598370671166,0.182531860964529,0.145606226031775,0.273172593057827,0.418166994020657,0.100128813234869,0.557553078061045,0.0338251607875947,0.0280703042358757,0.817650128521416,0.924426257832482,0.693511174791049,0.633869587610079,0.225014088667236,0.576257826919622,0.0478169053553036,0.137219212931031,0.19262499772471,0.286102697970978,0.0759390758518602,0.434522554208937,5.55408265736478e-05,0.299387684486895,0.59521871798588,0.0478169053553035,0.402135894917861,0.182531860964529
"imidazole lactate",0.0370010457545527,0.633869587610079,0.19262499772471,0.434522554208937,0.520948935577084,0.0874530601806711,0.967576156202937,0.313026082995925,0.286102697970978,0.0478169053553036,0.881472363014635,0.468183503088795,0.434522554208937,0.0518776080763114,0.902917866811604,0.299387684486895,0.0561788662417929,0.0150173742825602,0.734251788754801,0.653538937959263,0.775664871585324,0.12916175578724,0.12916175578724,0.434522554208937,0.902917866811604,0.299387684486895,0.163386034746161,1,0.693511174791049,0.633869587610079
"indoleacetate",0.718611975240987,0.270463710369742,0.509369688809352,0.678723941700024,0.779617362063818,0.925839700068018,0.00513118146012842,0.659047134066959,0.989393352540606,0.718611975240987,0.210402699089904,0.678723941700024,0.392135837715948,0.536271907492392,0.698582435349376,0.554525230343538,0.457385226153353,0.474434760752164,0.491765414058626,0.968186220907239,0.573023323688132,0.183649498353882,0.233380125668916,0.216015786526008,0.465874398552992,0.779617362063818,0.31065235774542,0.128275872801152,0.0481666320952633,0.17856077880913
"indolelactate",0.673423202665486,0.653538937959263,1,0.520948935577084,0.59521871798588,0.0208123843500963,0.817650128521416,0.989189709913342,0.371067789395025,0.633869587610079,0.154327160537791,0.260598370671166,0.299387684486895,0.0874530601806712,0.485475943733222,0.734251788754801,0.633869587610079,0.236519264676913,0.299387684486895,0.945983670156841,0.614426013724972,0.967576156202937,0.434522554208937,0.614426013724972,0.172786506584626,0.860103507719015,0.945983670156841,0.402135894917861,0.286102697970978,0.0167992340927046
"inosine",1,0.313026082995925,0.520948935577084,0.402135894917861,0.0706011110697353,0.371067789395024,0.434522554208937,0.653538937959263,0.451196804369117,0.163386034746161,0.145606226031775,0.434522554208938,0.713791318994479,0.754880444355198,0.236519264676913,0.902917866811604,0.967576156202937,0.576257826919622,0.145606226031775,0.106918151178142,0.418166994020657,0.713791318994479,0.924426257832482,0.520948935577084,0.0133753659145312,0.273172593057827,0.967576156202937,0.817650128521416,0.860103507719015,0.754880444355198
"fructose 1,6-diphosphate/glucose 1,6-diphosphate/myo-inositol diphosphates",0.945983670156841,0.673423202665486,0.945983670156841,0.402135894917861,0.633869587610079,0.902917866811604,0.713791318994479,0.539113807034715,0.576257826919622,0.0370010457545527,0.902917866811604,0.451196804369117,0.341354869770817,0.434522554208938,0.796592401118968,0.0759390758518602,0.0874530601806711,0.0936424967223945,0.860103507719015,0.754880444355198,0.860103507719015,0.163386034746161,0.145606226031775,0.468183503088794,0.924426257832482,0.503066960517545,0.520948935577084,0.172786506584626,0.539113807034715,0.881472363014635
"isoleucylglycine",0.71659703936098,0.267168652979192,0.89637624778979,0.630815293997744,0.196851618793821,0.426175240083245,0.71659703936098,0.873493762145745,0.0511133313461827,0.738554264845776,0.417323347768521,0.326087402946485,0.246751888630833,0.919329824440967,0.220973355945717,0.630815293997744,0.862084053251338,0.760688199278719,0.326087402946485,0.366134446148299,0.548943062292417,0.599611590374597,0.519409044953238,0.942338803062795,0.0360076626947772,0.453260774537193,0.417323347768521,0.942338803062795,0.599611590374597,0.816700522795399
"isovalerylglycine",0.429289500848053,0.905960624692774,0.634420270873349,0.0801327524040804,0.826169730859422,0.539147912153267,0.696724291318215,0.231665981453928,0.892589230736957,0.369040783992737,0.892589230736957,0.946194048113315,0.760758223669127,0.0532504918609227,0.505031998562558,0.461061856034954,0.905960624692774,0.119717406670028,0.634420270873349,0.0222907506147279,0.919353970847648,0.359443741207266,0.331439774732661,0.429289500848053,0.216989180100998,0.734959176053949,0.973084434224014,0.839385070083696,0.946194048113315,0.146312878307187
"kynurenate",0.203068420186092,0.468183503088794,0.12916175578724,0.967576156202937,0.713791318994479,0.673423202665486,0.83882493483871,0.313026082995925,0.817650128521416,0.614426013724972,0.633869587610079,0.402135894917861,0.418166994020656,0.557553078061045,0.299387684486896,0.313026082995925,0.0655332271928347,0.468183503088795,0.557553078061045,0.0655332271928348,0.260598370671166,0.614426013724972,0.945983670156841,0.106918151178142,0.418166994020657,0.0280703042358757,0.163386034746161,0.83882493483871,0.989189709913342,0.557553078061045
"kynurenine",0.248380568071137,0.860103507719015,0.557553078061045,0.59521871798588,0.0403864039827663,0.236519264676913,0.539113807034715,0.673423202665486,0.673423202665486,0.0370010457545527,0.356039941834193,0.434522554208937,0.418166994020656,0.83882493483871,0.989189709913342,0.633869587610079,0.734251788754801,0.0308508738328496,0.83882493483871,0.341354869770817,0.520948935577084,0.945983670156841,0.539113807034715,0.633869587610079,0.299387684486895,0.451196804369117,0.451196804369117,0.100128813234869,0.0655332271928347,0.386434553629285
"lactate",0.796592401118967,0.106918151178142,0.557553078061045,0.633869587610079,0.0655332271928348,0.12142915576969,0.418166994020657,0.653538937959263,0.0518776080763114,0.341354869770817,0.0706011110697353,0.12142915576969,0.673423202665486,0.653538937959264,0.576257826919622,0.754880444355198,0.576257826919622,0.967576156202937,0.0815541216928155,0.163386034746161,0.248380568071137,0.402135894917861,0.213864224336727,0.775664871585324,5.55408265736478e-05,0.327015951002671,0.881472363014635,0.386434553629285,0.713791318994479,0.341354869770817
"lactosyl-N-behenoyl-sphingosine (d18:1/22:0)*",0.236273516514756,0.926542767053161,0.555333586666972,0.151251181271955,0.473088733912789,0.598465313177829,0.295097795106374,0.781667607355141,0.47308873391279,1,0.598465313177829,0.758001873214358,0.642788891702261,0.781667607355141,0.16200432180198,0.8055007195868,0.0113317130115342,0.734521128069818,0.534250287129701,0.0014980328812694,0.902145618722018,0.642788891702261,0.87782422035992,0.853597273023047,0.236273516514756,0.236273516514756,0.620485497073325,0.97548891094155,0.344001453462213,0.926542767053161
"lactosyl-N-nervonoyl-sphingosine (d18:1/24:1)*",0.841760251396407,0.03144603403279,0.290173575781186,0.989393352540606,0.936414021329089,0.303741235439923,0.173559069899397,0.204877151119172,0.0216365784766987,0.474434760752164,0.0481666320952633,0.00822564588389483,0.361366375598003,0.62027999231038,0.779617362063818,0.159074097046929,0.440623958824401,0.0283769179848306,0.0401240479015355,0.290173575781186,0.120235349024061,0.183649498353882,0.173559069899397,0.536271907492393,0.957588816697064,0.124213996425763,0.862673046727988,0.17856077880913,0.173559069899397,0.629895298696934
"lactosyl-N-palmitoyl-sphingosine (d18:1/16:0)",0.902917866811604,0.273172593057827,0.576257826919622,0.924426257832482,0.754880444355198,0.273172593057827,0.734251788754801,0.273172593057827,0.0936424967223945,0.924426257832482,0.213864224336727,0.12916175578724,0.0607282533857394,0.236519264676913,0.137219212931031,0.0478169053553036,0.137219212931031,0.12142915576969,0.248380568071137,0.0518776080763113,0.313026082995925,0.775664871585324,0.371067789395025,0.734251788754801,0.434522554208938,0.236519264676913,0.653538937959263,0.557553078061045,0.371067789395025,0.356039941834194
"lanthionine",0.539113807034715,0.485475943733222,0.371067789395024,0.713791318994479,0.106918151178142,0.967576156202937,0.557553078061045,0.418166994020656,0.327015951002671,0.0230588742090161,0.418166994020656,0.881472363014635,0.734251788754801,0.860103507719015,0.576257826919622,0.503066960517545,0.386434553629285,0.145606226031775,0.386434553629285,0.402135894917861,0.313026082995925,0.860103507719015,0.902917866811604,0.796592401118967,0.145606226031775,0.213864224336727,0.653538937959264,0.693511174791049,0.860103507719015,0.775664871585324
"laurylcarnitine (C12)",0.273172593057827,0.614426013724972,0.248380568071137,0.59521871798588,0.418166994020657,0.796592401118968,0.83882493483871,0.260598370671166,0.945983670156841,0.0118658922903862,0.59521871798588,1,0.225014088667236,0.576257826919622,0.0478169053553036,0.225014088667236,0.0607282533857394,0.260598370671166,0.734251788754801,0.503066960517545,0.451196804369117,0.734251788754801,0.989189709913342,0.503066960517545,0.945983670156841,0.0439890872097468,0.0280703042358757,0.860103507719015,0.633869587610079,0.614426013724972
