"","StromalScore","ImmuneScore","ESTIMATEScore","APM1","APM2","Angiogenesis","B.cells","CD8.T.cells","CTLA4","Cytotoxic.cells","DC","Eosinophils","Macrophages","Mast.cells","NK.CD56bright.cells","NK.CD56dim.cells","NK.cells","Neutrophils","PD1","PDL1","T.cells","T.helper.cells","Tcm.cells","Tem.cells","Tfh.cells","Tgd.cells","Th1.cells","Th17.cells","Th2.cells","Treg.cells"
"1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)",0.990184506648716,0.861438740333816,0.976077478568463,0.963696716544464,0.937577255645844,0.940007361089781,0.952481002851654,0.940007361089781,0.861438740333816,0.969845493758293,0.872711003967124,0.861438740333816,0.980918467246356,0.990184506648716,0.957702216170362,0.996383342794963,0.990184506648716,0.990184506648716,0.861438740333816,0.861438740333816,0.940007361089781,0.986800367310511,0.952481002851654,0.995299832437556,0.720282449113421,0.957702216170362,0.990184506648716,0.953899137705605,0.992165831332464,0.937577255645844
"1-(1-enyl-stearoyl)-GPE (P-18:0)*",0.969845493758293,0.861438740333816,0.883350271508875,0.946284249578564,0.846303182996241,0.946284249578564,0.940007361089781,0.936539890325887,0.872711003967124,0.861438740333816,0.861438740333816,0.872711003967124,0.993132087570618,0.986800367310511,0.993132087570618,0.986800367310511,0.987107191942513,0.993132087570618,0.861438740333816,0.952481002851654,0.861438740333816,0.947499558687317,0.953899137705605,0.937577255645844,0.78966194921163,0.858679441131517,0.961218723547159,0.969845493758293,0.990184506648716,0.987107191942513
"1,2-dilinoleoyl-GPC (18:2/18:2)",0.861438740333816,1,0.903537831635221,0.987107191942513,0.969845493758293,0.940007361089781,0.957702216170362,0.910245331635242,1,0.830996250032744,0.993132087570618,1,0.990184506648716,0.990184506648716,0.987107191942513,0.940007361089781,0.733175548932926,0.861438740333816,0.995299832437556,0.990184506648716,0.976077478568463,0.940007361089781,0.937577255645844,0.969845493758293,0.990184506648716,0.861438740333816,0.910245331635242,0.957702216170362,0.891776296703234,0.996383342794963
"1,2-dilinoleoyl-GPE (18:2/18:2)*",0.669099852359053,0.940007361089781,0.733175548932926,0.908243508655275,0.969845493758293,0.908243508655275,1,0.818454825784813,0.980918467246356,0.830996250032744,0.990184506648716,0.940007361089781,0.969845493758293,0.861438740333816,0.969845493758293,0.940007361089781,0.861438740333816,0.891776296703234,0.940007361089781,0.987107191942513,0.887477192535426,0.993132087570618,0.990184506648716,0.908243508655275,0.937577255645844,0.805644979410225,0.861438740333816,0.990184506648716,0.976077478568463,0.990184506648716
"1,2-dipalmitoyl-GPC (16:0/16:0)",0.966129737738917,0.733175548932926,0.940007361089781,0.947499558687317,0.861438740333816,0.860021261944433,0.861438740333816,0.910245331635242,0.733175548932926,0.969845493758293,0.618891441808128,0.777832355009404,0.966129737738917,0.961218723547159,1,0.940007361089781,0.990184506648716,0.940007361089781,0.669099852359053,0.952481002851654,0.861438740333816,0.861438740333816,0.861438740333816,0.990184506648716,0.846303182996241,0.891776296703234,0.990184506648716,0.887477192535426,0.861438740333816,0.940007361089781
"1,2-dipalmitoyl-GPE (16:0/16:0)*",0.976077478568463,0.733175548932926,0.861438740333816,0.937577255645844,0.915865737212672,0.957702216170362,0.861438740333816,0.861438740333816,0.777832355009404,0.952481002851654,0.733175548932926,0.733175548932926,0.976077478568463,0.957702216170362,0.990184506648716,0.947499558687317,1,0.987107191942513,0.733175548932926,0.937577255645844,0.830996250032744,0.883350271508875,0.861438740333816,0.937577255645844,0.818454825784813,0.861438740333816,0.969845493758293,0.861438740333816,0.908243508655275,0.963696716544464
"1,5-anhydroglucitol (1,5-AG)",0.940007361089781,0.990184506648716,0.961218723547159,0.992165831332464,0.990184506648716,0.995299832437556,0.937577255645844,0.910245331635242,0.966129737738917,0.995299832437556,0.990184506648716,0.940007361089781,0.910245331635242,0.969845493758293,0.733175548932926,0.936539890325887,0.883350271508875,0.957702216170362,0.990184506648716,0.861438740333816,0.947499558687317,0.993132087570618,0.990184506648716,0.990184506648716,0.940007361089781,0.940007361089781,0.940007361089781,0.993132087570618,0.986800367310511,0.937577255645844
"1,7-dimethylurate",1,0.986800367310511,0.990184506648716,0.891776296703234,0.996383342794963,0.990184506648716,0.974834145413253,0.986800367310511,0.998942547695235,0.990184506648716,0.953957511630523,0.97610049705777,0.990184506648716,0.861438740333816,0.937577255645844,0.990184506648716,0.910245331635242,0.957702216170362,0.953957511630523,0.655530826977906,0.996383342794963,0.990184506648716,0.996383342794963,0.996383342794963,0.846303182996241,0.990184506648716,0.992165831332464,0.940007361089781,0.969845493758293,0.926437034797017
"10-nonadecenoate (19:1n9)",0.940007361089781,0.993132087570618,0.974834145413253,0.993132087570618,0.97610049705777,0.996383342794963,0.961218723547159,0.969845493758293,0.974834145413253,0.861438740333816,0.996383342794963,0.996383342794963,0.974834145413253,0.992165831332464,0.990184506648716,0.937577255645844,0.805644979410225,0.915865737212672,0.993132087570618,0.990184506648716,0.990184506648716,0.940007361089781,0.946284249578564,0.990184506648716,0.990184506648716,0.910245331635242,0.995299832437556,0.940007361089781,0.947499558687317,0.990184506648716
"12,13-DiHOME",0.804356586734553,0.940007361089781,0.804356586734553,0.915865737212672,0.969845493758293,0.940007361089781,0.995299832437556,0.804356586734553,0.937577255645844,0.861438740333816,0.980918467246356,0.937577255645844,0.937577255645844,0.861438740333816,0.996383342794963,0.903832246909681,0.910245331635242,0.947499558687317,0.915865737212672,0.990184506648716,0.861438740333816,0.992165831332464,1,0.969845493758293,0.940007361089781,0.861438740333816,0.940007361089781,0.993132087570618,0.996383342794963,0.969845493758293
