"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"62",3.86794001046109e-24,0.000504412896949312,1,0.0928922685901339,1,1,1,1,1,1,1,1
"63",NA,1,1,1,1,1,1,1,1,1,0.00125164003072753,1
"64",2.20492576386758e-30,1.96599573999852e-05,1,0.0245342033769854,1,0.0316622796766773,1,1,0.0633447046347034,1,0.697803343336784,1
"65",1.94488513068733e-05,2.27420601736826e-05,1,1,1,1,1,1,1,1,1,1
"66",4.85441121930022e-05,0.175116394603315,1,1,1,1,1,0.129812812837961,0.0732536638346212,1,1,1
"67",0.0328929698245636,5.54353597135041e-07,1,0.880154093608716,1,1,1,1,1,1,0.71669710557659,1
"68",2.72089869840261e-39,1.09166204640233e-06,1,0.00621735484702911,1,1,1,1,0.0715253919213239,1,0.917481713846215,1
"69",0.000520824276693044,1,1,1,1,1,1,1,1,1,1,1
"70",3.98745697226539e-13,4.04207420703295e-05,1,0.823053566408724,1,1,1,1,1,1,1,1
"71",1,4.65826925204229e-05,1,0.144859488543527,1,1,1,0.0749869742851499,0.000537314193425514,1,0.668601307995958,1
"72",0.102410679383661,1.53359014469169e-08,1,1,1,1,1,0.802771308350198,0.420554082085518,1,1,1
"73",1.75258977083351e-38,1,1,0.0942575348161148,1,1,1,0.764784154653093,0.0148989639323288,1,1,1
"74",0.00395643725097366,1,1,1,1,1,1,1,1,1,1,1
"75",7.77589800060976e-08,1,1,1,1,1,1,1,0.421802024301762,1,1,1
"76",1.16967833982779e-23,1,1,1,1,1,1,1,1,1,1,1
"77",1.16229299972965e-10,2.59591578905757e-11,1,0.48317392056652,1,0.0178319459514775,1,0.970625287274838,0.00120792995820328,1,1,1
"78",0.0019186029568937,1,1,1,1,1,1,1,1,1,1,1
"79",0.000630118335476835,1,1,1,1,1,1,1,1,1,1,1
"80",1.78487002578515e-25,1,1,1,1,1,1,1,1,1,1,1
"81",1.33999545447242e-12,0.00203258824020772,1,0.0187394581003411,1,0.116604862711484,1,1,1,1,0.747719443627375,1
"82",0.735947050906497,1,1,1,1,1,1,1,1,1,0.0882298399602819,1
"83",0.247139458403461,2.69419294240378e-08,1,0.000570338061167115,1,0.0135068285367307,1,1,1,1,1,1
"84",5.4179578255782e-08,1,1,0.185002847234723,1,1,1,1,0.127840487250139,1,0.00125164003072753,1
"85",1,5.27617141086906e-05,1,0.0812628973548514,1,0.0893859206658974,1,0.831198390686831,0.495057818020683,1,0.407777336245,1
"86",0.0364352243391518,1,1,1,1,1,1,1,1,1,1,1
"87",4.23070585771775e-24,1,1,1,1,1,1,1,1,1,1,1
"88",0.0123224358342316,1,1,1,1,1,1,1,1,1,1,1
"89",1.84609760606733e-05,1,1,0.0162986423097108,1,1,1,1,0.0365935842961639,1,0.323607015242951,1
"90",0.616864567432751,0.00974787140459435,1,0.00705418128285642,1,0.376979308510893,1,1,1,1,1,1
"91",2.40565430473968e-11,0.0308768987832235,1,1,1,1,1,1,0.0552060258206789,0.602636672913555,0.074071304501467,1
"92",1.06615065651308e-05,1.98853855396534e-06,1,1,1,1,1,1,1,1,1,1
"93",0.256333801447528,1,1,1,1,1,1,1,1,1,1,1
"94",0.250722993832136,1,1,0.884317311824236,1,1,1,1,1,1,0.565638450066443,1
"95",0.125479296199265,1,1,1,1,1,1,1,1,1,0.668601307995958,1
"96",0.459340580382277,1,1,0.856916748623767,1,1,1,1,1,1,0.074071304501467,1
"97",0.255349659267862,1,1,1,1,0.116604862711484,1,0.243200315697133,1,1,1,1
"98",0.0162509814832008,0.000153896952430024,1,0.0713795320267488,1,1,1,0.562750740372554,0.0632249144674202,1,0.777958761081079,1
"99",1.37171868793268e-12,1,1,1,1,1,1,1,1,1,1,1
"100",6.83102482232186e-35,1,1,1,1,1,1,1,1,1,1,1
"101",6.09011246930515e-29,1,1,1,1,0.671811179738942,1,1,1,1,1,1
"102",0.637257670118984,9.6323930706962e-05,1,0.00776220253118594,1,0.898354033569069,1,1,1,1,1,1
"103",6.72727984287855e-14,1.47059230735233e-10,1,0.0391594823858984,1,0.201541578537798,1,0.929726544216813,0.838644887760675,1,1,1
"104",1.56403138204296e-11,NA,1,1,1,0.666621513098365,1,1,1,1,1,1
"105",6.96457832843964e-22,1,1,1,1,1,1,1,1,1,1,1
"106",5.74714742508678e-31,1,1,0.0479503097850305,1,1,1,1,1,1,1,1
"107",0.0717598026968937,0.000254495070262425,1,0.000394204248159623,1,1,1,1,0.0219158161264687,1,0.306266373194901,1
"108",8.96088750597373e-07,1,1,1,1,0.389513804345695,1,1,1,1,1,1
"109",6.93245288752561e-25,1,1,1,1,1,1,1,1,1,1,1
"110",2.24977022332977e-06,1.20901219430248e-07,1,0.00310556029647703,1,1,1,0.69768776043514,0.311143449512526,1,0.0423559158947916,1
"111",0.000531784389404244,1,1,1,1,1,1,1,1,1,1,1
"112",1.14197976892996e-15,6.99066545900243e-09,1,0.00539564727399152,1,0.376979308510893,1,1,0.804880726835816,1,0.00125164003072753,1
"113",0.00645443562608989,1,1,0.06589959155227,1,1,1,1,1,1,1,1
"114",9.6589361254114e-23,4.88252883445022e-06,1,1,1,0.978961003998021,1,1,0.000477506701987774,1,0.668601307995958,1
"115",0.324427089093454,1,1,1,1,1,1,1,1,1,1,1
"116",0.00873428170554169,1,1,1,1,1,1,1,1,1,1,1
"117",1.56793687828015e-25,1.03902578097199e-09,1,0.000394204248159623,1,0.0229313693440763,1,0.0749869742851499,0.0223653248496851,1,1,1
"118",2.01291354832623e-06,1,1,0.00706034497761546,1,1,1,1,0.00917755908181368,1,1,1
"119",1,2.39153577521992e-06,1,0.000570338061167115,0.162369360346141,1,1,1,0.145780528743058,0.83534880676581,0.0882298399602819,1
"120",2.07175410674487e-07,7.34170197851447e-07,0.000268862922163366,0.000570338061167115,1,0.116604862711484,1,1,1,1,1,1
"121",6.43445690509932e-17,3.27676666157001e-06,1,0.0088190293072674,1,1,1,0.987406443351097,0.0602391412265337,1,1,1
"122",1.60965749762029e-18,2.94961845874544e-09,1,0.00706034497761546,1,1,1,0.951314428423882,1,1,1,1
"123",2.7003248169831e-06,6.37313031736677e-06,1,0.000570338061167115,1,0.0178319459514775,1,1,1,1,1,1
"124",0.0703605898800841,1,1,0.0866574529904726,1,1,1,1,0.0372732422595538,1,1,1
"125",3.9839332569836e-13,1,1,1,1,1,1,1,1,1,1,1
"126",0.113519377795125,9.26739780528100e-12,1,0.00705418128285642,1,1,1,1,0.0883201155379674,1,0.376122481792277,1
"127",0.256333801447528,1,1,0.00539564727399152,1,1,1,1,1,1,1,1
"128",1.21177985085394e-06,4.99428582513277e-09,0.0394084650813704,0.000394204248159623,9.58274483052092e-06,0.48862867378953,1,0.658405188647091,0.108996198040602,1,1,0.232259085644467
"129",0.254850830596642,1,1,1,1,1,1,1,1,1,1,1
"130",0.000261265001797268,1,1,1,1,1,1,1,1,1,1,1
"131",0.778987725757091,1,1,1,1,1,1,0.243534830960278,1,1,1,1
"132",1,1,1,1,1,1,1,1,1,1,1,1
"133",4.35043538620539e-11,0.0330353389432631,1,0.0134778591893001,1,1,1,1,0.566928766721313,1,1,1
"134",0.00109721172823612,1,1,1,1,1,1,1,1,1,1,1
"135",9.06926183862573e-09,1,1,0.0356644274164813,1,1,1,0.421785660078407,0.776511799032236,1,1,1
"136",1,1,1,1,1,1,1,1,1,1,1,1
"137",0.000801841116499641,1,1,1,1,1,1,1,1,1,1,1
"138",6.57775525839896e-08,1,1,1,1,1,1,1,0.495057818020683,1,1,1
"139",1,1,1,1,1,1,1,0.542613222869682,1,1,1,1
"140",0.00394316913996752,0.00667382886857298,1,1,1,1,1,0.686725309467971,1,1,1,1
"141",0.451430312715909,1,1,1,1,1,1,0.707746953174295,1,1,1,1
"142",0.250529419741758,1,1,1,1,1,1,1,1,1,1,1
"143",0.00161818324112244,1,1,1,1,1,1,1,0.551098037426325,1,1,1
"144",0.695090387977478,1,1,1,1,0.183399639800232,1,1,0.0148989639323288,1,0.565638450066443,1
"145",3.47457077491337e-30,0.145762262821185,1,0.0054652783142907,1,0.171426685442704,1,0.562750740372554,1,1,1,1
"146",3.74145318187771e-06,1,1,0.0312289290135714,1,1,1,1,1,1,1,1
